external_id,R,F_recent,M,RFM_total,segment,F_count,M_amount,_segment_truth
u_003680,2,1,1,4,At-Risk,0,0.0,At-Risk
u_010253,1,1,1,3,Lost,0,0.0,Lost
u_001973,4,4,5,13,Champion,9,1231346.0,Loyal
u_013422,3,3,2,8,Potential,2,198994.0,Potential
u_004244,2,1,1,4,At-Risk,0,0.0,At-Risk
u_003134,2,1,1,4,At-Risk,0,0.0,At-Risk
u_009577,1,1,1,3,Lost,0,0.0,Lost
u_001340,4,4,5,13,Champion,9,1394740.0,Loyal
u_004428,2,1,1,4,At-Risk,0,0.0,At-Risk
u_014982,4,2,1,7,Potential,1,46827.0,Potential
u_003741,2,1,1,4,At-Risk,0,0.0,At-Risk
u_006605,1,1,1,3,Lost,0,0.0,Lost
u_012663,3,3,3,9,Potential,3,422197.0,Potential
u_013188,2,1,1,4,At-Risk,0,0.0,Potential
u_001618,3,5,4,12,Loyal,10,822063.0,Loyal
u_013467,3,3,3,9,Potential,3,318219.0,Potential
u_005903,2,1,1,4,At-Risk,0,0.0,Hibernating
u_002608,2,1,1,4,At-Risk,0,0.0,At-Risk
u_011791,2,1,1,4,At-Risk,0,0.0,Potential
u_000176,5,4,4,13,Champion,4,997951.0,Champion
u_013787,4,2,2,8,Potential,1,102174.0,Potential
u_003330,2,1,1,4,At-Risk,0,0.0,At-Risk
u_003182,2,1,1,4,At-Risk,0,0.0,At-Risk
u_012612,4,2,1,7,Potential,1,73615.0,Potential
u_012978,4,3,2,9,Potential,2,200826.0,Potential
u_012852,2,1,1,4,At-Risk,0,0.0,Potential
u_002532,2,1,1,4,At-Risk,0,0.0,At-Risk
u_013266,2,1,1,4,At-Risk,0,0.0,Potential
u_005932,2,1,1,4,At-Risk,0,0.0,Hibernating
u_012878,2,1,1,4,At-Risk,0,0.0,Potential
u_008757,1,1,1,3,Lost,0,0.0,Lost
u_014068,4,3,1,8,Potential,3,77815.0,Potential
u_003484,2,1,1,4,At-Risk,0,0.0,At-Risk
u_010434,1,1,1,3,Lost,0,0.0,Lost
u_013786,3,3,2,8,Potential,2,213064.0,Potential
u_000395,5,5,4,14,Champion,10,910360.0,Champion
u_011668,1,1,1,3,New,0,0.0,New
u_000722,5,4,3,12,Loyal,4,446509.0,Champion
u_002101,4,4,3,11,Loyal,5,331434.0,Loyal
u_011917,4,2,1,7,Potential,1,36312.0,Potential
u_002475,2,1,1,4,At-Risk,0,0.0,At-Risk
u_006405,1,1,1,3,Lost,0,0.0,Lost
u_007191,1,1,1,3,Lost,0,0.0,Lost
u_005112,2,1,1,4,At-Risk,0,0.0,Hibernating
u_010969,5,2,1,8,Potential,1,48889.0,New
u_011243,5,2,1,8,Potential,1,33111.0,New
u_001175,4,5,5,14,Champion,10,1884187.0,Loyal
u_012388,3,3,2,8,Potential,3,225426.0,Potential
u_007516,1,1,1,3,Lost,0,0.0,Lost
u_014008,2,1,1,4,At-Risk,0,0.0,Potential
u_001591,4,4,3,11,Loyal,4,359227.0,Loyal
u_002388,2,1,1,4,At-Risk,0,0.0,At-Risk
u_005994,2,1,1,4,At-Risk,0,0.0,Hibernating
u_010187,1,1,1,3,Lost,0,0.0,Lost
u_010638,1,1,1,3,New,0,0.0,New
u_006182,1,1,1,3,Lost,0,0.0,Lost
u_013282,4,3,2,9,Potential,3,158296.0,Potential
u_008308,1,1,1,3,Lost,0,0.0,Lost
u_010910,5,2,1,8,Potential,1,66306.0,New
u_014071,2,1,1,4,At-Risk,0,0.0,Potential
u_011254,1,1,1,3,New,0,0.0,New
u_001205,3,4,3,10,Loyal,7,480813.0,Loyal
u_014242,2,1,1,4,At-Risk,0,0.0,Potential
u_001935,4,4,3,11,Loyal,6,402956.0,Loyal
u_000028,4,4,5,13,Champion,6,1287840.0,Champion
u_008605,1,1,1,3,Lost,0,0.0,Lost
u_013462,3,3,3,9,Potential,3,416965.0,Potential
u_012943,4,3,1,8,Potential,2,72751.0,Potential
u_009870,1,1,1,3,Lost,0,0.0,Lost
u_012632,2,1,1,4,At-Risk,0,0.0,Potential
u_009900,1,1,1,3,Lost,0,0.0,Lost
u_008588,1,1,1,3,Lost,0,0.0,Lost
u_004584,2,1,1,4,At-Risk,0,0.0,Hibernating
u_006159,1,1,1,3,Lost,0,0.0,Lost
u_005247,2,1,1,4,At-Risk,0,0.0,Hibernating
u_005705,2,1,1,4,At-Risk,0,0.0,Hibernating
u_013805,2,1,1,4,At-Risk,0,0.0,Potential
u_012429,2,1,1,4,At-Risk,0,0.0,Potential
u_007099,1,1,1,3,Lost,0,0.0,Lost
u_013716,3,2,2,7,Potential,1,131096.0,Potential
u_013057,3,2,1,6,Potential,1,48789.0,Potential
u_011404,1,1,1,3,New,0,0.0,New
u_004857,2,1,1,4,At-Risk,0,0.0,Hibernating
u_013064,2,1,1,4,At-Risk,0,0.0,Potential
u_003718,2,1,1,4,At-Risk,0,0.0,At-Risk
u_012058,4,3,3,10,Potential,3,284681.0,Potential
u_005610,2,1,1,4,At-Risk,0,0.0,Hibernating
u_008393,1,1,1,3,Lost,0,0.0,Lost
u_012813,2,1,1,4,At-Risk,0,0.0,Potential
u_014756,2,1,1,4,At-Risk,0,0.0,Potential
u_009194,1,1,1,3,Lost,0,0.0,Lost
u_003649,2,1,1,4,At-Risk,0,0.0,At-Risk
u_002399,2,1,1,4,At-Risk,0,0.0,At-Risk
u_003160,2,1,1,4,At-Risk,0,0.0,At-Risk
u_009301,1,1,1,3,Lost,0,0.0,Lost
u_007183,1,1,1,3,Lost,0,0.0,Lost
u_007343,1,1,1,3,Lost,0,0.0,Lost
u_000236,4,4,5,13,Champion,7,1315631.0,Champion
u_005270,2,1,1,4,At-Risk,0,0.0,Hibernating
u_010113,1,1,1,3,Lost,0,0.0,Lost
u_007959,1,1,1,3,Lost,0,0.0,Lost
u_013053,2,1,1,4,At-Risk,0,0.0,Potential
u_013632,2,1,1,4,At-Risk,0,0.0,Potential
u_006845,1,1,1,3,Lost,0,0.0,Lost
u_003870,2,1,1,4,At-Risk,0,0.0,At-Risk
u_003162,2,1,1,4,At-Risk,0,0.0,At-Risk
u_003662,2,1,1,4,At-Risk,0,0.0,At-Risk
u_010168,1,1,1,3,Lost,0,0.0,Lost
u_004303,2,1,1,4,At-Risk,0,0.0,At-Risk
u_014823,3,3,3,9,Potential,2,244879.0,Potential
u_002033,4,4,5,13,Champion,8,1194052.0,Loyal
u_009363,1,1,1,3,Lost,0,0.0,Lost
u_009260,1,1,1,3,Lost,0,0.0,Lost
u_008371,1,1,1,3,Lost,0,0.0,Lost
u_009551,1,1,1,3,Lost,0,0.0,Lost
u_002373,2,1,1,4,At-Risk,0,0.0,At-Risk
u_006633,1,1,1,3,Lost,0,0.0,Lost
u_009143,1,1,1,3,Lost,0,0.0,Lost
u_006386,1,1,1,3,Lost,0,0.0,Lost
u_004266,2,1,1,4,At-Risk,0,0.0,At-Risk
u_006663,1,1,1,3,Lost,0,0.0,Lost
u_007856,1,1,1,3,Lost,0,0.0,Lost
u_013257,2,1,1,4,At-Risk,0,0.0,Potential
u_012065,2,1,1,4,At-Risk,0,0.0,Potential
u_007342,1,1,1,3,Lost,0,0.0,Lost
u_001837,3,4,3,10,Loyal,4,413343.0,Loyal
u_009417,1,1,1,3,Lost,0,0.0,Lost
u_011713,3,2,1,6,Potential,1,41971.0,Potential
u_002518,2,1,1,4,At-Risk,0,0.0,At-Risk
u_011040,1,1,1,3,New,0,0.0,New
u_011347,1,1,1,3,New,0,0.0,New
u_000189,5,4,4,13,Champion,5,727208.0,Champion
u_000911,3,4,3,10,Loyal,5,423224.0,Loyal
u_002854,2,1,1,4,At-Risk,0,0.0,At-Risk
u_010569,1,1,1,3,New,0,0.0,New
u_002464,2,1,1,4,At-Risk,0,0.0,At-Risk
u_001273,3,4,4,11,Loyal,5,679582.0,Loyal
u_011486,5,2,1,8,Potential,1,74467.0,New
u_004333,2,1,1,4,At-Risk,0,0.0,At-Risk
u_003347,2,1,1,4,At-Risk,0,0.0,At-Risk
u_009535,1,1,1,3,Lost,0,0.0,Lost
u_010037,1,1,1,3,Lost,0,0.0,Lost
u_009882,1,1,1,3,Lost,0,0.0,Lost
u_014428,3,1,1,5,Potential,0,0.0,Potential
u_009688,1,1,1,3,Lost,0,0.0,Lost
u_003776,2,1,1,4,At-Risk,0,0.0,At-Risk
u_010452,1,1,1,3,Lost,0,0.0,Lost
u_008615,1,1,1,3,Lost,0,0.0,Lost
u_000533,4,4,5,13,Champion,6,1999593.0,Champion
u_011735,4,3,3,10,Potential,3,333375.0,Potential
u_014268,3,3,2,8,Potential,3,212247.0,Potential
u_003482,2,1,1,4,At-Risk,0,0.0,At-Risk
u_008515,1,1,1,3,Lost,0,0.0,Lost
u_006552,1,1,1,3,Lost,0,0.0,Lost
u_012967,2,1,1,4,At-Risk,0,0.0,Potential
u_003674,2,1,1,4,At-Risk,0,0.0,At-Risk
u_013785,3,3,2,8,Potential,2,174865.0,Potential
u_009630,1,1,1,3,Lost,0,0.0,Lost
u_007090,1,1,1,3,Lost,0,0.0,Lost
u_000670,5,4,5,14,Champion,4,1044733.0,Champion
u_005805,2,1,1,4,At-Risk,0,0.0,Hibernating
u_010233,1,1,1,3,Lost,0,0.0,Lost
u_001898,4,4,4,12,Champion,9,838568.0,Loyal
u_005394,2,1,1,4,At-Risk,0,0.0,Hibernating
u_002434,2,1,1,4,At-Risk,0,0.0,At-Risk
u_005607,2,1,1,4,At-Risk,0,0.0,Hibernating
u_009067,1,1,1,3,Lost,0,0.0,Lost
u_005902,2,1,1,4,At-Risk,0,0.0,Hibernating
u_003679,2,1,1,4,At-Risk,0,0.0,At-Risk
u_006736,1,1,1,3,Lost,0,0.0,Lost
u_010925,1,1,1,3,New,0,0.0,New
u_014553,3,3,3,9,Potential,3,375518.0,Potential
u_013695,2,1,1,4,At-Risk,0,0.0,Potential
u_000938,3,4,4,11,Loyal,9,1024967.0,Loyal
u_012234,2,1,1,4,At-Risk,0,0.0,Potential
u_013957,2,1,1,4,At-Risk,0,0.0,Potential
u_012521,3,3,3,9,Potential,2,250877.0,Potential
u_012796,3,2,2,7,Potential,1,136365.0,Potential
u_012109,2,1,1,4,At-Risk,0,0.0,Potential
u_000674,5,4,4,13,Champion,6,796260.0,Champion
u_010062,1,1,1,3,Lost,0,0.0,Lost
u_003061,2,1,1,4,At-Risk,0,0.0,At-Risk
u_014361,2,1,1,4,At-Risk,0,0.0,Potential
u_009460,1,1,1,3,Lost,0,0.0,Lost
u_007927,1,1,1,3,Lost,0,0.0,Lost
u_012845,3,3,3,9,Potential,3,284755.0,Potential
u_010358,1,1,1,3,Lost,0,0.0,Lost
u_004502,2,1,1,4,At-Risk,0,0.0,Hibernating
u_012445,2,1,1,4,At-Risk,0,0.0,Potential
u_008599,1,1,1,3,Lost,0,0.0,Lost
u_007102,1,1,1,3,Lost,0,0.0,Lost
u_013359,2,1,1,4,At-Risk,0,0.0,Potential
u_013394,2,1,1,4,At-Risk,0,0.0,Potential
u_008882,1,1,1,3,Lost,0,0.0,Lost
u_001919,4,4,3,11,Loyal,6,563478.0,Loyal
u_004746,2,1,1,4,At-Risk,0,0.0,Hibernating
u_012370,4,3,3,10,Potential,3,398271.0,Potential
u_006168,1,1,1,3,Lost,0,0.0,Lost
u_010060,1,1,1,3,Lost,0,0.0,Lost
u_006860,1,1,1,3,Lost,0,0.0,Lost
u_005129,2,1,1,4,At-Risk,0,0.0,Hibernating
u_003963,2,1,1,4,At-Risk,0,0.0,At-Risk
u_010190,1,1,1,3,Lost,0,0.0,Lost
u_002979,2,1,1,4,At-Risk,0,0.0,At-Risk
u_001464,4,4,4,12,Champion,8,573499.0,Loyal
u_006343,1,1,1,3,Lost,0,0.0,Lost
u_007631,1,1,1,3,Lost,0,0.0,Lost
u_002558,2,1,1,4,At-Risk,0,0.0,At-Risk
u_007912,1,1,1,3,Lost,0,0.0,Lost
u_005104,2,1,1,4,At-Risk,0,0.0,Hibernating
u_013707,2,1,1,4,At-Risk,0,0.0,Potential
u_013969,2,1,1,4,At-Risk,0,0.0,Potential
u_002983,2,1,1,4,At-Risk,0,0.0,At-Risk
u_000720,4,4,5,13,Champion,6,1520546.0,Champion
u_008824,1,1,1,3,Lost,0,0.0,Lost
u_005408,2,1,1,4,At-Risk,0,0.0,Hibernating
u_014944,2,1,1,4,At-Risk,0,0.0,Potential
u_009411,1,1,1,3,Lost,0,0.0,Lost
u_001473,4,4,3,11,Loyal,5,372504.0,Loyal
u_004947,2,1,1,4,At-Risk,0,0.0,Hibernating
u_001432,4,4,4,12,Champion,9,712122.0,Loyal
u_014137,2,1,1,4,At-Risk,0,0.0,Potential
u_009147,1,1,1,3,Lost,0,0.0,Lost
u_001733,3,4,3,10,Loyal,8,515738.0,Loyal
u_003344,2,1,1,4,At-Risk,0,0.0,At-Risk
u_009846,1,1,1,3,Lost,0,0.0,Lost
u_003813,2,1,1,4,At-Risk,0,0.0,At-Risk
u_009071,1,1,1,3,Lost,0,0.0,Lost
u_008868,1,1,1,3,Lost,0,0.0,Lost
u_008567,1,1,1,3,Lost,0,0.0,Lost
u_010855,1,1,1,3,New,0,0.0,New
u_013749,3,3,2,8,Potential,3,217360.0,Potential
u_014046,4,3,2,9,Potential,2,127955.0,Potential
u_006795,1,1,1,3,Lost,0,0.0,Lost
u_013424,3,3,2,8,Potential,2,149580.0,Potential
u_013157,4,3,3,10,Potential,3,343687.0,Potential
u_012171,4,3,2,9,Potential,3,176358.0,Potential
u_004385,2,1,1,4,At-Risk,0,0.0,At-Risk
u_014482,3,3,3,9,Potential,3,397437.0,Potential
u_009382,1,1,1,3,Lost,0,0.0,Lost
u_006887,1,1,1,3,Lost,0,0.0,Lost
u_010642,5,2,1,8,Potential,1,34017.0,New
u_005298,2,1,1,4,At-Risk,0,0.0,Hibernating
u_007993,1,1,1,3,Lost,0,0.0,Lost
u_011849,2,1,1,4,At-Risk,0,0.0,Potential
u_000871,4,4,4,12,Champion,7,752094.0,Loyal
u_004906,2,1,1,4,At-Risk,0,0.0,Hibernating
u_005876,2,1,1,4,At-Risk,0,0.0,Hibernating
u_009086,1,1,1,3,Lost,0,0.0,Lost
u_008954,1,1,1,3,Lost,0,0.0,Lost
u_006665,1,1,1,3,Lost,0,0.0,Lost
u_004710,2,1,1,4,At-Risk,0,0.0,Hibernating
u_009439,1,1,1,3,Lost,0,0.0,Lost
u_014253,2,1,1,4,At-Risk,0,0.0,Potential
u_007298,1,1,1,3,Lost,0,0.0,Lost
u_001019,3,4,5,12,Loyal,8,1187368.0,Loyal
u_013835,2,1,1,4,At-Risk,0,0.0,Potential
u_011962,4,3,2,9,Potential,3,223279.0,Potential
u_013496,2,1,1,4,At-Risk,0,0.0,Potential
u_014165,3,2,1,6,Potential,1,70767.0,Potential
u_005496,2,1,1,4,At-Risk,0,0.0,Hibernating
u_008665,1,1,1,3,Lost,0,0.0,Lost
u_010130,1,1,1,3,Lost,0,0.0,Lost
